Символ,Частота,Вероятность
" ",93,0.114251
е,76,0.093366
н,49,0.060197
о,48,0.058968
а,39,0.047912
л,38,0.046683
с,34,0.041769
р,33,0.040541
\n,33,0.040541
т,31,0.038084
и,29,0.035627
м,24,0.029484
",",20,0.024570
ь,20,0.024570
ы,20,0.024570
у,20,0.024570
к,19,0.023342
в,18,0.022113
д,17,0.020885
п,16,0.019656
я,15,0.018428
г,13,0.015971
з,13,0.015971
ч,12,0.014742
б,10,0.012285
й,9,0.011057
.,8,0.009828
И,5,0.006143
Н,4,0.004914
В,4,0.004914
П,4,0.004914
ю,3,0.003686
ж,3,0.003686
;,3,0.003686
ш,3,0.003686
ц,3,0.003686
:,3,0.003686
—,2,0.002457
!,2,0.002457
С,2,0.002457
О,2,0.002457
щ,2,0.002457
Л,2,0.002457
А,2,0.002457
Т,1,0.001229
?,1,0.001229
М,1,0.001229
З,1,0.001229
Е,1,0.001229
К,1,0.001229
Б,1,0.001229
Д,1,0.001229
