Символ,Код
\n,11010
" ",011
!,101111011
",",01001
.,1100111
:,01010101
;,10101000
?,1011110000
А,111100101
Б,1011111010
В,11001100
Д,1011111001
Е,010101000
З,010101001
И,11110011
К,1011111011
Л,110011011
М,1011110001
Н,10101011
О,101111001
П,10111111
С,101111010
Т,1011111000
а,0010
б,010100
в,111011
г,101011
д,111010
е,000
ж,10101001
з,101001
и,10110
й,1111000
к,111101
л,11111
м,01011
н,1001
о,1000
п,110010
р,11011
с,11100
т,11000
у,00110
ц,01010111
ч,101000
ш,01010110
щ,111100100
ы,00111
ь,01000
ю,10101010
я,101110
—,110011010
